"Original","Group","NewName","CrossRoles"
"2181037.2181040.pdf","01_Definition","From Game Design Elements to Gamefulness - Defining Gamification [MindTrek 2011].pdf","Definition"
"3173574.3173885.pdf","02_Implementation\01_Structural_Elements","Empirical Support for a Causal Relationship Between Gamification and Learning Outcomes [CHI 2018].pdf","Structural elements; also benefits"
"gamificationworksbuthowandtowhom.pdf","02_Implementation\01_Structural_Elements","Gamification Works, but How and to Whom - An Experimental Study in Programming Lessons [SIGCSE 2021].pdf","Structural elements"
"harms2015gamification.pdf","02_Implementation\02_Narrative_and_Theming","Gamification of Online Surveys - Design Process, Case Study, and Evaluation [INTERACT 2015].pdf","Narrative and theming; also assessment implementation and effects"
"journal.pone.0292096.pdf","02_Implementation\02_Narrative_and_Theming","Gamified Online Surveys - Assessing Experience with Self-Determination Theory [PLOS ONE 2023].pdf","Narrative and theming; also assessment"
"3311350.3347167.pdf","02_Implementation\03_Personalization","Factors to Consider for Tailored Gamification [CHI PLAY 2019].pdf","Personalization"
"3474714.pdf","02_Implementation\03_Personalization","Personalization Improves Gamification - Evidence from a Mixed-Methods Study [PACM HCI - CHI PLAY 2021].pdf","Personalization"
"s10648-019-09498-w.pdf","03_Benefits_and_Meta_Analyses","The Gamification of Learning - A Meta-Analysis [Educational Psychology Review 2020].pdf","Benefits meta-analysis"
"Brit J Educational Tech - 2024 - Zeng - Exploring the impact of gamification on students  academic performance  A.pdf","03_Benefits_and_Meta_Analyses","Exploring the Impact of Gamification on Students Academic Performance - A Comprehensive Meta-Analysis 2008-2023 [BJET 2024].pdf","Benefits meta-analysis"
"s11423-023-10337-7.pdf","03_Benefits_and_Meta_Analyses","Gamification Enhances Intrinsic Motivation, Autonomy and Relatedness, with Minimal Impact on Competence [ETR&D 2024].pdf","Benefits and self-determination theory"
"fpsyg-14-1253549.pdf","03_Benefits_and_Meta_Analyses","Examining the Effectiveness of Gamification in Educational Settings - A Meta-Analysis [Frontiers in Psychology 2023].pdf","Benefits and moderators meta-analysis"
"1-s2.0-S0360131519302192-main.pdf","03_Benefits_and_Meta_Analyses","Gamification in the Classroom - Impact of Gamified Quizzes on Student Learning [Computers & Education 2020].pdf","Benefits boundary and novelty decay; also assessment implementation"
"1-s2.0-S0360131514002899-main.pdf","04_Gamification_in_Assessment","Gamification in Assessment - Do Points Affect Test Performance [Computers & Education 2015].pdf","Assessment definition, implementation, and effects"
"games_v4i2e11.pdf","04_Gamification_in_Assessment","Gamification of Cognitive Assessment and Cognitive Training - Systematic Review [JMIR Serious Games 2016].pdf","Assessment validity review"
"s10639-024-12708-w.pdf","04_Gamification_in_Assessment","Exploring the Impact of Adaptive Gamified Assessment in Blended Learning [Education and Information Technologies 2024].pdf","Adaptive gamified assessment"
"HaimanEtAl-GameBasedAssessmentAndGender-AIED2026.pdf","04_Gamification_in_Assessment","Gender Differences in Learning and Test-Taking Experiences with Digital Game-Based Assessment [AIED 2026 - LNAI 16585, 2027].pdf","Assessment closing citation; gender and affective experiences"
"978-3-032-29770-9.pdf","04_Gamification_in_Assessment\ZZ_Proceedings_Source","Artificial Intelligence in Education - AIED 2026 Proceedings [Springer LNAI 16585, 2027].pdf","Full proceedings; contains Haiman paper; not a separate citation"
"00189-EAAI26.HilkeO-RETK12.pdf","05_AI_Literacy_Game_Based_Learning","Breakable Machine - A K-12 Classroom Game for Transformative AI Literacy through Spoofing and XAI [AAAI-EAAI 2026].pdf","AI literacy learning"
"00277-EAAI26.FarhadiE-RETK12.pdf","05_AI_Literacy_Game_Based_Learning","Beetrap-MC - A Minecraft-Based AI Literacy Tool for Teaching Filter Bubbles [AAAI-EAAI 2026].pdf","AI literacy learning"
"3628516.3655802.pdf","05_AI_Literacy_Game_Based_Learning","Bee and I Need Diversity! - Breaking Filter Bubbles through Embodied AI Learning [IDC 2024].pdf","AI literacy learning; BeeTrap system"
"00240-EAAI26.MooreK-RETK12.pdf","05_AI_Literacy_Game_Based_Learning","Games of Representation - Card Activities for Representation and Bias in AI Datasets [AAAI-EAAI 2026].pdf","AI literacy learning"
"3800645.3812865.pdf","05_AI_Literacy_Game_Based_Learning","Conceptualizing How to Design for AI Literacy through Game Artifacts [DIS 2026].pdf","AI literacy game design review; bridge to learning-assessment gap"
"1-s2.0-S2666920X21000357-main.pdf","06_AI_Literacy_Assessment_and_Gap","Conceptualizing AI Literacy - An Exploratory Review [Computers and Education - Artificial Intelligence 2021].pdf","AI literacy framework and assessment gap"
"00180-EAAI26.XiaoR-MT (1).pdf","06_AI_Literacy_Assessment_and_Gap","Learning to Use AI for Learning - Responsible AI Chatbot Use through an AI Literacy Module [AAAI-EAAI 2026].pdf","Anchor prior work; learning and assessment materials"
"s41539-024-00264-4.pdf","06_AI_Literacy_Assessment_and_Gap","A Systematic Review of AI Literacy Scales [npj Science of Learning 2024].pdf","AI literacy scale review and assessment gap"
